title,published_at,channel_title,duration,view_count,like_count,comment_count,category
"USA vs GERMANY | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 22, 2024",2024-07-22 21:19:17+00:00,NBA,PT14M9S,8680873,110217,12528,Sports
The $2.1 Billion McDonald's Machine,2024-07-30 14:00:16+00:00,fern,PT10M35S,1359436,57035,3848,Entertainment
The TESLA CYBERTRUCK is FINALLY in Fortnite!,2024-07-31 16:23:24+00:00,TG Plays,PT15M59S,966030,17264,2051,Gaming
"YouTube Shorts Bingo, but the ENTIRE Board",2024-07-29 23:42:21+00:00,Crispy Concords,PT30M2S,548795,27307,2237,Entertainment
I Hosted A Streamer Only Hide & Seek!,2024-07-29 22:00:29+00:00,CouRage Gaming,PT22M44S,847432,17112,766,Gaming
I Coached the INSANE 12u Pottstown Scout Team,2024-07-29 23:30:11+00:00,Coach RAC,PT28M55S,366370,5419,524,People & Blogs
School Style Decoded | A Runway Show Master Class for Parents (Official Video),2024-07-29 16:00:25+00:00,Walmart,PT5M,338977,1240,248,Entertainment
Helldivers 2 - New Freedom’s Flame Premium Warbond Deployed | PS5 & PC Games,2024-07-30 13:00:29+00:00,PlayStation,PT1M1S,412412,15820,1931,Gaming
HIGHLIGHTS | AC Milan 1-0 Real Madrid | Summer Tour 2024,2024-08-01 05:24:00+00:00,Real Madrid,PT2M45S,2551725,47705,2120,Sports
"Surprising My Crush with 1,000 Gifts in 24 Hours",2024-07-31 15:01:06+00:00,Cash,PT20M35S,528805,8342,893,Entertainment
Barcelona vs. Manchester City in Orlando | Highlights | ESPN FC,2024-07-31 02:57:02+00:00,ESPN FC,PT9M42S,318226,4078,551,Sports
I Tried The World’s Most Expensive Steak,2024-07-30 17:02:52+00:00,Calfreezy,PT21M51S,489643,20010,352,Entertainment
"Spending $8,843,815 On The NEW DOPPELGANGER Ability. (Roblox Blade Ball)",2024-07-30 08:36:33+00:00,Foltyn,PT8M59S,818890,17540,3335,Gaming
"‘Love Island USA’: Serena, Leah & JaNa on Casa Amour, PPG & the REUNION (Exclusive)",2024-07-29 20:24:06+00:00,extratv,PT9M59S,223394,6176,619,Entertainment
DeeBaby - Malibu Baby,2024-07-29 04:48:17+00:00,Official DeeBabyTV,PT2M46S,374182,17212,1009,Music
"SOUTH SUDAN vs USA | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 20, 2024",2024-07-20 21:50:43+00:00,NBA,PT12M15S,7268739,95149,15236,Sports
Brandon Lake - That's Who I Praise (Official Audio),2024-07-29 04:00:56+00:00,Brandon Lake,PT3M49S,482879,26591,1564,Music
We Played Dress to Impress!,2024-07-28 19:42:37+00:00,Jake Webber,PT24M3S,1331584,73209,4716,Entertainment
Unseen Footage From Paddy The Baddy’s Ranked Win At UFC 304,2024-07-29 18:59:59+00:00,Paddy The Baddy,PT19M34S,992139,27583,1884,Sports
highschool,2024-07-28 18:00:09+00:00,SocksStudios,PT33M59S,1689150,42004,6645,Comedy
HIGHLIGHTS: Salah scores as Reds win in Philly | Liverpool 2-1 Arsenal,2024-08-01 08:30:09+00:00,Liverpool FC,PT2M14S,1545786,24661,957,Sports
ImDavisss - 4 U (Official Audio),2024-07-28 22:15:14+00:00,ImDavisss Gaming,PT2M31S,459474,58514,3705,Gaming
The RajaSaab Glimpse | Prabhas | Maruthi | Thaman S | People Media Factory,2024-07-29 11:33:07+00:00,People Media Factory,PT46S,11020941,352634,9542,Entertainment
Glover (N64) - Angry Video Game Nerd (AVGN),2024-07-29 03:49:59+00:00,Cinemassacre,PT17M4S,866536,47514,3260,Gaming
MY AUDITION FOR A NEW BAND - (FULL PERFORMANCE),2024-07-29 17:00:08+00:00,El Estepario Siberiano,PT7M48S,1027992,33010,6590,Music
"50 YouTubers Fight For $1,000,000",2024-07-13 16:00:01+00:00,MrBeast,PT41M27S,210350440,8198311,378705,Entertainment
Finding Out I'm PREGNANT,2024-07-30 15:00:02+00:00,Connor And Liana,PT13M23S,653610,53509,7046,Entertainment
Iron Man becomes Dr Doom,2024-07-28 15:30:01+00:00,Comics Explained,PT18M40S,1355869,36159,2491,Entertainment
"HS Freshman GOES OFF against D1 Athletes! ($10,000 Pittsburgh 1on1’s)",2024-07-28 20:20:11+00:00,Deestroying,PT24M7S,551881,15290,650,Entertainment
"Stray Kids ""MOUNTAINS"" Video",2024-07-28 15:00:00+00:00,Stray Kids,PT3M12S,4888174,706597,27002,People & Blogs
TOMORROW X TOGETHER Official Character 'PPULBATU',2024-07-31 15:00:00+00:00,TOMORROW X TOGETHER OFFICIAL,PT25S,318447,58691,2875,Music
Nature's Incredible ROTATING MOTOR (It’s Electric!) - Smarter Every Day 300,2024-07-28 14:00:19+00:00,SmarterEveryDay,PT29M37S,2027168,102336,13265,Science & Technology
Painting GIANT vs TINY Art Challenge!,2024-07-28 16:21:20+00:00,Stay Wild,PT59M,8221645,78631,6806,Entertainment
Film Theory: ﻿The Boiled One is Just the Beginning... (ft. MatPat),2024-07-28 17:05:00+00:00,The Film Theorists,PT22M31S,1596499,81896,4866,Film & Animation
The 4:30 Movie Official Trailer (Domestic),2024-07-29 14:00:06+00:00,Kevin Smith,PT2M28S,252901,8860,1177,People & Blogs
Creating EVEN WORSE Contraptions in The Enjenir,2024-07-28 23:59:31+00:00,martincitopantsLIVE,PT25M37S,738811,43828,994,Gaming
Deadpool and Wolverine - Cosmonaut Quickie,2024-07-28 23:55:55+00:00,The Cosmonaut Variety Hour,PT13M30S,502354,28234,2176,Entertainment
"TEAM MARK vs TEAM DUKE DENNIS 5V5 BASKETBALL GAME! Ft. Ray, PlaqueBoyMax, Ludwig, and MORE!",2024-07-28 01:50:26+00:00,Creator League,PT1H38M50S,1505689,33366,1870,Sports
I Hired a Fortnite Pro to Secretly Destroy PWR!,2024-07-28 16:00:17+00:00,PWR,PT24M15S,1133256,23662,1116,Gaming
I BOUGHT A WRECKED LAMBORGHINI URUS FOR MY GIRLFRIEND,2024-07-30 17:00:09+00:00,Mat Armstrong,PT28M37S,2276687,111717,3746,Autos & Vehicles
OUR GENDER REVEAL!! KB AND KARLA,2024-07-28 19:01:10+00:00,KB AND KARLA,PT27M4S,614666,39069,3398,Entertainment
CENTRAL CEE - GEN Z LUV [VERTICAL VIDEO],2024-07-28 20:00:06+00:00,Central Cee,PT2M46S,1168553,66629,2870,Music
"My ""Restored"" 1086 International Sidehill Hays with Duals!",2024-07-29 02:42:40+00:00,Vice Grip Lodge,PT15M18S,399396,31126,1315,Entertainment
I Bought EVERYTHING Amazon Recommended I Buy!,2024-07-28 16:00:52+00:00,Imbrandonfarris,PT20M41S,633076,30398,1309,Comedy
can we build a fully RED townhouse in the sims? | rainbow townhouses pt 1,2024-07-28 18:25:05+00:00,CarynandConnieGaming,PT28M45S,523630,42284,1713,Gaming
Cody Rhodes Goes Sneaker Shopping With Complex,2024-07-29 14:00:57+00:00,Complex,PT18M12S,455561,19404,1369,Entertainment
"Yunli Trailer — ""Serendipity"" | Honkai: Star Rail",2024-07-30 04:00:00+00:00,Honkai: Star Rail,PT2M24S,774369,54811,2025,Gaming
I Built Bellingham's Dream XI,2024-07-29 14:30:30+00:00,Chuffsters,PT15M51S,773141,16094,1300,Gaming
Jay Leno & Jeff Dunham Unveil The Wraith: The Most Mysterious Movie Car! | Jay Leno's Garage,2024-07-29 16:00:08+00:00,Jay Leno's Garage,PT16M38S,996725,25458,3781,Autos & Vehicles
FOUR-WEIGHT WORLD CHAMP | Claressa Shields vs. Vanessa Joanisse Fight Highlights,2024-07-28 11:54:38+00:00,DAZN Boxing,PT13M57S,1313239,21867,4446,Sports
Beating the Sisyphus allegations,2024-07-30 13:00:28+00:00,AstralSpiff,PT57M59S,367746,20998,981,Gaming
EA SPORTS FC 25 | 5v5 Rush Deep Dive,2024-07-29 14:57:08+00:00,EA SPORTS FC,PT3M18S,1105443,45155,2400,Gaming
Olympic Mini Games Battle,2024-07-27 14:00:01+00:00,Dude Perfect,PT16M23S,4371600,111879,2387,Sports
HOUSE OF THE DRAGON Season 2 Episode 7 Breakdown & Ending Explained - Connection to Fire & Blood,2024-07-29 02:03:00+00:00,Think Story,PT23M18S,699109,10913,1793,Film & Animation
I Opened an Illegal Store in Minecraft,2024-07-30 14:00:14+00:00,Craftee,PT21M57S,468544,7756,516,Gaming
Dana White: 'I’m never upping the f****g bonuses again' | UFC 304 Post Fight Press Conference,2024-07-28 06:00:08+00:00,TheMacLife,PT23M27S,1265722,14332,8620,Sports
Zinc Tells The Hidden History of Cerro Gordo...So I Mined A Bunch,2024-07-28 20:00:05+00:00,Ghost Town Living,PT32M24S,422033,21420,1218,People & Blogs
face reveal?,2024-07-28 18:00:06+00:00,aCookieGod,PT15M52S,1598183,94881,13976,Gaming
"""YOU'VE GOT NO CHANCE DUCK""...DINERS TELL ME I WON'T BEAT THIS BREAKFAST CHALLENGE | BeardMeatsFood",2024-07-28 18:00:23+00:00,BeardMeatsFood,PT12M20S,3836779,124882,6441,People & Blogs
Robert Downey Jr. Is DOCTOR DOOM!,2024-07-28 13:00:05+00:00,Jeremy Jahns,PT6M16S,781431,34505,7812,Entertainment
The Biggest Trees I've Ever Made  Hermitcraft - Episode 21,2024-07-28 14:45:00+00:00,GoodTimesWithScar,PT26M30S,459735,30358,1720,Gaming
"CANADA vs USA | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 10, 2024",2024-07-11 04:49:42+00:00,NBA,PT10M45S,8987032,117065,8039,Sports
Making my bones UNBREAKABLE with real-life NANOTECH!,2024-07-27 21:37:41+00:00,Hacksmith Industries,PT43M1S,2042898,83273,3737,Science & Technology
"EXTREME KITCHEN RENOVATION EP 9 | Appliances, Faucets & Vintage Lighting",2024-07-28 21:49:09+00:00,"XO, MaCenna",PT27M57S,222551,19840,844,Howto & Style
House of the Dragon Season 2 | Season Finale Preview | Max,2024-07-29 02:00:21+00:00,Max,PT1M11S,2914303,41477,3792,Entertainment
"Captain America: Brave New World | Official Teaser | In Theaters February 14, 2025",2024-07-12 13:00:02+00:00,Marvel Entertainment,PT1M49S,18713069,514212,41669,Entertainment
I Moved To New York City,2024-07-27 22:11:19+00:00,Duke Dennis,PT18M53S,1179695,43382,1683,Entertainment
I Bought 1 Star Home Depot Tools,2024-07-28 11:12:00+00:00,John Malecki Unscrewed,PT22M50S,428308,10322,1211,Howto & Style
Back to Van Life + a big announcement!,2024-07-27 15:00:17+00:00,Kara and Nate,PT38M32S,1152457,43353,3936,Travel & Events
GloRilla - All Dere (feat. Moneybagg Yo) (Official Music VIdeo) ft. Moneybagg Yo,2024-07-26 17:00:07+00:00,GloRillaVEVO,PT2M59S,2118592,62395,2921,Music
Lady Gaga - Mon Truc en Plumes (Live from The 2024 Paris Olympics),2024-07-27 19:00:10+00:00,Lady Gaga,PT5M3S,2461023,75357,5676,Music
Post Malone ft. Luke Combs - Guy For That (Official Music Video),2024-07-26 14:00:07+00:00,PostMaloneVEVO,PT3M14S,5013064,141646,5367,Music
What Really Happened At VidCon...,2024-07-27 20:00:08+00:00,KREW,PT57M58S,711509,38149,8682,Entertainment
mgk & Jelly Roll - Lonely Road (Official Music Video),2024-07-26 04:00:08+00:00,MGKVEVO,PT4M49S,6582884,225854,15862,Music
"POP SONG REVIEW: ""Not Like Us"" by Kendrick Lamar",2024-07-28 00:28:55+00:00,Todd in the Shadows,PT26M37S,423963,24390,3891,People & Blogs
Going on a Date w/ My Childhood Crush (15 Years Later),2024-07-27 18:00:30+00:00,loveliveserve,PT24M41S,1193636,48117,1499,Entertainment
Lil Yachty & Ian - Hate Me (Official Music Video),2024-07-26 03:59:06+00:00,Lyrical Lemonade,PT2M43S,4562960,210148,8834,Entertainment
Ryan Reynolds & Hugh Jackman Take Lie Detector Tests | Vanity Fair,2024-07-26 16:00:09+00:00,Vanity Fair,PT14M41S,2645776,111840,1913,Entertainment
Meet the Vampire Lestat ft. Sam Reid | Interview with the Vampire | New Season | AMC+,2024-07-28 00:41:20+00:00,amc+,PT4M14S,328322,23954,2518,Entertainment
Tom Aspinall vs Curtis Blaydes KO,2024-07-28 04:31:40+00:00,Gabriel Varga,PT1M22S,428125,2010,746,Entertainment
Ryan Reynolds and Hugh Jackman Go Claws Out While Eating Spicy Wings | Hot Ones,2024-07-25 15:00:16+00:00,First We Feast,PT25M22S,19619633,828817,24946,Entertainment
Celine Dion's SHOWSTOPPING PERFORMANCE during opening ceremony 👑 | Olympic Games #Paris2024,2024-07-27 01:30:02+00:00,One Sports,PT3M46S,1695747,47647,3698,Sports
Kendrick Lamar - Not Like Us,2024-07-04 23:00:09+00:00,KendrickLamarVEVO,PT5M55S,88411080,4249056,262823,Music
Fallout London - Before You Buy,2024-07-27 15:56:47+00:00,gameranx,PT14M26S,1550514,44833,3631,Gaming
"Ice Spice, Travis Scott - Oh Shhh...",2024-07-26 16:00:06+00:00,IceSpiceVEVO,PT2M45S,4307056,145649,12456,Music
My FBI Declassified Story,2024-07-26 18:14:38+00:00,Marques Brownlee,PT9M26S,5167210,280900,7524,Science & Technology
