title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
the ULTIMATE duo ⛳️ w Mattie Westbrouck- #shorts,2024-07-22 23:36:12+00:00,Mattie Westbrouck,PT11S,3973211,241886,1282,Sports,11.0,0-5 min,23,Monday,36,23.6
SLIGHT MISTAKE,2024-07-23 00:17:56+00:00,Mighty Car Mods,PT53S,934195,34293,308,Autos & Vehicles,53.0,0-5 min,0,Tuesday,17,0.2833333333333333
Sporting Goods Employees Be Like 🤣 #baseball #funny #comedy #sportinggoods,2024-07-23 00:34:24+00:00,Austin Schultz,PT18S,2020917,92671,354,Sports,18.0,0-5 min,0,Tuesday,34,0.5666666666666667
Starman #starman #meme #starmanmene #funny #streetfighting #shorts,2024-07-23 01:44:16+00:00,Starman@meme,PT13S,16663934,483859,8207,Entertainment,13.0,0-5 min,1,Tuesday,44,1.7333333333333334
Que destreza al volante 🤭 #todos #seguidores #destacar #autos,2024-07-23 02:47:05+00:00,maryta Av,PT13S,10764841,206763,2527,Autos & Vehicles,13.0,0-5 min,2,Tuesday,47,2.783333333333333
Secret Service director asked if they saw threat on roof beforehand,2024-07-23 08:04:39+00:00,Scroll Of Wisdom,PT55S,8116024,370218,6740,News & Politics,55.0,0-5 min,8,Tuesday,4,8.066666666666666
car accessories for car lovers 🚘✔️🛍 #caraccessories,2024-07-23 10:31:33+00:00,Apo gadgets,PT10S,8415386,237210,1120,Autos & Vehicles,10.0,0-5 min,10,Tuesday,31,10.516666666666667
PSA #245 Don't Stand Close To A Fuel Truck On Fire Truck Drivers 🤕 Mutha Trucker News,2024-07-23 10:34:20+00:00,Mutha Trucker - Official Trucking Channel,PT17S,1709193,106471,7365,Autos & Vehicles,17.0,0-5 min,10,Tuesday,34,10.566666666666666
گوشی آیفون تو خیابون افتاده بود 😨 تعمیر و بازسازی آیفون 11pro,2024-07-23 11:00:08+00:00,MobileClinic,PT59S,1934456,58445,1327,Science & Technology,59.0,0-5 min,11,Tuesday,0,11.0
You can’t park there in a truck,2024-07-23 12:07:00+00:00,Driving with John,PT12S,491657,6705,347,Autos & Vehicles,12.0,0-5 min,12,Tuesday,7,12.116666666666667
The Generosity of Sadio Mané. #football #sadiomané #soccer #shorts,2024-07-23 12:10:41+00:00,Amico United,PT1M,4549171,166835,2210,Sports,60.0,0-5 min,12,Tuesday,10,12.166666666666666
Flash！快速穿衣服😂 #short,2024-07-23 12:31:59+00:00,崩壞的英文老師 Nina,PT10S,39908009,327125,672,Entertainment,10.0,0-5 min,12,Tuesday,31,12.516666666666667
